iter	Passed	Remaining
0	2	244
1	4	216
2	6	207
3	7	191
4	10	191
5	12	188
6	14	186
7	15	183
8	17	181
9	19	177
10	21	175
11	23	174
12	25	173
13	27	171
14	29	169
15	32	168
16	34	166
17	36	164
18	38	162
19	39	159
20	42	159
21	44	157
22	46	155
23	48	153
24	50	150
25	52	148
26	54	146
27	56	144
28	58	142
29	60	140
30	62	138
31	64	136
32	66	134
33	67	131
34	69	129
35	72	128
36	74	126
37	76	124
38	78	122
39	80	120
40	82	118
41	83	114
42	84	112
43	86	110
44	89	109
45	91	107
46	93	105
47	95	103
48	97	101
49	99	99
50	101	97
51	103	95
52	105	93
53	107	91
54	108	89
55	110	86
56	112	85
57	114	82
58	116	80
59	118	79
60	120	77
61	122	75
62	124	73
63	127	71
64	129	69
65	131	67
66	133	65
67	135	63
68	137	61
69	139	59
70	141	57
71	143	55
72	145	53
73	147	51
74	149	49
75	151	47
76	153	45
77	155	43
78	157	41
79	158	39
80	160	37
81	162	35
82	164	33
83	166	31
84	168	29
85	170	27
86	172	25
87	173	23
88	175	21
89	177	19
90	179	17
91	181	15
92	183	13
93	185	11
94	187	9
95	189	7
96	191	5
97	193	3
98	195	1
99	197	0
