iter	Passed	Remaining
0	142	142551
1	143	71768
2	144	48162
3	145	36317
4	146	29199
5	147	24481
6	148	21097
7	149	18559
8	150	16593
9	151	15012
10	152	13711
11	153	12644
12	154	11740
13	155	10958
14	156	10304
15	157	9716
16	159	9199
17	160	8733
18	161	8313
19	162	7938
20	162	7598
21	163	7287
22	164	7005
23	165	6743
24	166	6503
25	167	6282
26	168	6075
27	169	5886
28	171	5725
29	172	5569
30	173	5420
31	174	5273
32	175	5137
33	176	5011
34	177	4891
35	178	4777
36	179	4667
37	180	4562
38	181	4470
39	182	4380
40	183	4291
41	184	4211
42	185	4137
43	187	4064
44	188	3995
45	189	3924
46	190	3856
47	191	3791
48	192	3727
49	192	3665
50	193	3608
51	194	3554
52	195	3499
53	196	3445
54	197	3394
55	198	3345
56	199	3303
57	200	3262
58	202	3224
59	203	3184
60	204	3151
61	205	3112
62	206	3075
63	207	3038
64	208	3000
65	209	2963
66	210	2929
67	211	2897
68	212	2865
69	213	2837
70	216	2827
71	217	2806
72	219	2783
73	220	2755
74	221	2727
75	222	2702
76	223	2678
77	224	2654
78	225	2628
79	226	2602
80	227	2577
81	228	2558
82	229	2531
83	232	2533
84	233	2513
85	234	2492
86	235	2470
87	236	2449
88	237	2428
89	238	2407
90	239	2388
91	240	2368
92	240	2348
93	241	2329
94	244	2327
95	248	2340
96	249	2323
97	250	2306
98	251	2290
99	252	2273
100	253	2256
101	254	2241
102	255	2225
103	256	2208
104	257	2192
105	259	2185
106	261	2184
107	263	2176
108	264	2162
109	265	2147
110	266	2134
111	267	2120
112	268	2108
113	269	2097
114	270	2083
115	271	2070
116	272	2057
117	274	2051
118	276	2049
119	278	2044
120	279	2033
121	280	2020
122	281	2008
123	282	1995
124	283	1985
125	284	1975
126	285	1963
127	286	1952
128	287	1943
129	289	1938
130	292	1942
131	293	1932
132	295	1923
133	295	1912
134	296	1902
135	297	1893
136	299	1884
137	300	1875
138	301	1866
139	302	1859
140	304	1852
141	305	1847
142	307	1844
143	308	1836
144	309	1827
145	310	1818
146	311	1809
147	313	1802
148	314	1794
149	315	1785
150	316	1776
151	317	1769
152	319	1767
153	322	1771
154	323	1764
155	324	1756
156	325	1748
157	326	1740
158	327	1733
159	328	1725
160	329	1716
161	330	1709
162	331	1702
163	333	1699
164	336	1703
165	338	1699
166	339	1694
167	340	1687
168	341	1680
169	342	1673
170	343	1667
171	344	1660
172	346	1655
173	348	1652
174	351	1656
175	352	1649
176	353	1643
177	354	1636
178	355	1630
179	356	1623
180	357	1617
181	358	1610
182	359	1604
183	360	1600
184	362	1598
185	364	1595
186	366	1593
187	367	1587
188	368	1581
189	369	1574
190	370	1568
191	371	1562
192	372	1556
193	373	1550
194	374	1544
195	375	1540
196	377	1538
197	379	1538
198	380	1532
199	381	1527
200	383	1522
201	383	1516
202	384	1511
203	386	1506
204	387	1501
205	388	1496
206	389	1491
207	391	1491
208	395	1497
209	396	1492
210	397	1486
211	398	1481
212	399	1475
213	400	1470
214	401	1466
215	402	1462
216	403	1456
217	405	1453
218	407	1451
219	410	1455
220	412	1453
221	413	1449
222	414	1444
223	415	1439
224	416	1434
225	417	1430
226	418	1425
227	421	1426
228	423	1425
229	425	1423
230	426	1418
231	427	1413
232	428	1409
233	429	1404
234	430	1400
235	431	1395
236	431	1390
237	432	1385
238	433	1381
239	435	1380
240	441	1390
241	442	1387
242	443	1383
243	445	1379
244	446	1375
245	447	1371
246	448	1366
247	450	1365
248	452	1364
249	455	1367
250	457	1363
251	458	1359
252	459	1355
253	460	1351
254	460	1346
255	462	1342
256	463	1340
257	466	1340
258	468	1340
259	470	1338
260	471	1334
261	472	1330
262	473	1326
263	474	1322
264	475	1318
265	476	1314
266	477	1310
267	478	1307
268	480	1304
269	483	1306
270	484	1304
271	485	1300
272	486	1296
273	487	1292
274	488	1288
275	489	1285
276	491	1282
277	492	1279
278	493	1276
279	496	1276
280	498	1274
281	499	1270
282	500	1267
283	501	1263
284	502	1259
285	503	1256
286	504	1254
287	506	1251
288	508	1250
289	510	1249
290	512	1248
291	513	1245
292	514	1241
293	515	1238
294	516	1234
295	517	1231
296	518	1227
297	519	1224
298	520	1221
299	522	1219
300	524	1219
301	526	1217
302	527	1213
303	528	1210
304	529	1206
305	530	1202
306	531	1199
307	532	1195
308	533	1192
309	534	1189
310	535	1185
311	536	1182
312	537	1180
313	539	1178
314	541	1177
315	542	1174
316	543	1170
317	544	1167
318	545	1163
319	546	1160
320	546	1157
321	547	1153
322	548	1150
323	549	1147
324	551	1144
325	552	1143
326	556	1144
327	557	1142
328	558	1139
329	560	1138
330	561	1135
331	562	1131
332	563	1128
333	564	1125
334	565	1122
335	567	1122
336	570	1122
337	572	1122
338	574	1119
339	575	1116
340	576	1113
341	577	1110
342	578	1107
343	579	1104
344	580	1102
345	582	1101
346	585	1101
347	587	1100
348	588	1097
349	589	1094
350	590	1091
351	591	1088
352	592	1085
353	593	1082
354	594	1079
355	595	1077
356	598	1077
357	600	1077
358	602	1075
359	603	1072
360	604	1069
361	605	1066
362	606	1063
363	607	1060
364	607	1057
365	609	1055
366	610	1053
367	612	1052
368	615	1052
369	616	1050
370	617	1047
371	618	1044
372	619	1042
373	621	1040
374	622	1037
375	623	1034
376	624	1032
377	626	1030
378	629	1031
379	631	1030
380	632	1027
381	633	1024
382	634	1021
383	635	1018
384	636	1016
385	637	1013
386	638	1010
387	639	1008
388	640	1006
389	643	1006
390	645	1005
391	647	1003
392	648	1001
393	649	998
394	650	995
395	651	992
396	651	990
397	652	987
398	653	984
399	655	983
400	659	985
401	661	983
402	662	980
403	663	978
404	664	976
405	665	974
406	666	971
407	667	969
408	669	967
409	672	967
410	674	967
411	675	964
412	676	962
413	677	959
414	678	956
415	679	954
416	680	951
417	681	948
418	682	946
419	683	943
420	684	941
421	686	940
422	688	939
423	689	937
424	690	934
425	691	931
426	692	929
427	693	926
428	694	924
429	695	922
430	696	919
431	697	916
432	698	914
433	700	913
434	702	911
435	703	910
436	704	907
437	705	905
438	706	903
439	707	900
440	708	898
441	709	895
442	710	893
443	711	890
444	712	888
445	714	887
446	715	885
447	717	884
448	718	881
449	719	879
450	720	877
451	721	874
452	722	872
453	723	870
454	724	867
455	725	865
456	726	863
457	727	861
458	729	859
459	731	858
460	732	856
461	733	854
462	734	851
463	735	849
464	736	846
465	736	844
466	737	842
467	738	839
468	739	837
469	740	834
470	741	832
471	742	830
472	744	828
473	745	827
474	746	825
475	747	822
476	748	820
477	749	818
478	749	815
479	750	813
480	751	811
481	752	808
482	753	806
483	754	804
484	755	802
485	756	800
486	757	797
487	759	796
488	760	794
